,Unnamed: 0,YEAR,STATEFIP,Inc_F,Inc_M,Agelt30,Child,Child5,White,Black,AmIndian_AlaskaNative,Chinese,Japanese,SEX,Prop_F,College,Mar,Constr,GWG,party_simplified,state,Year_imp,Pay_Transp,Empt,GDP_pc,GWG_calc,log_GDP,DEMOCRAT
0,0,2010,1,14118.163660450424,23834.914908794457,22.57209823703251,44.879241822072764,12.493630897788648,76.43941709976562,19.9938856618771,0.5808621216753287,0.2190971160705187,0.040762254152654644,19626,48.33384286151024,55.834097625598694,61.24019158259452,6.511770100886579,59.2331196250304,REPUBLICAN,ALABAMA,,0,51.41136354422952,37039.21,40.76688037496961,10.519732360238928,0
1,1,2010,2,16442.15923566879,26732.79936305733,25.0,44.267515923566876,13.789808917197453,68.69426751592357,2.8343949044585988,16.687898089171973,0.28662420382165604,0.28662420382165604,3140,45.54140127388535,58.56687898089172,57.64331210191083,8.980891719745223,61.50556480213063,REPUBLICAN,ALASKA,,0,62.17299595788129,74703.95,38.494435197869365,11.221288247902292,0
2,2,2010,4,15761.251816165788,25056.495373556627,23.621625755142617,43.500038235069205,13.164334327445133,82.33157452014989,3.471744283857154,3.961153169687237,0.7111722872218399,0.20264586678901889,26154,47.79001299992353,60.70964288445362,56.64907853483215,5.658790242410339,62.90285844523742,REPUBLICAN,ARIZONA,,0,49.65508318425956,39195.05,37.09714155476258,10.576305742294926,0
3,3,2010,5,13346.849246231155,20152.8986599665,22.77219430485762,43.90284757118928,12.822445561139029,83.51758793969849,11.95142378559464,0.678391959798995,0.09212730318257957,0.02512562814070352,11940,49.003350083752096,47.99832495812395,62.48743718592965,7.294807370184254,66.22793808190241,REPUBLICAN,ARKANSAS,,0,52.74719558329609,34732.12,33.772061918097585,10.455420186201632,0
4,4,2010,6,18224.846550250648,28426.86740564052,23.940329349337347,46.48200824011123,13.133793384950955,65.60136229702667,4.516116688138577,0.734084212406087,4.1296223069760325,0.9368980955903925,156794,46.810464686148705,61.605673686493105,56.1226832659413,6.535964386392337,64.11134329431752,DEMOCRAT,CALIFORNIA,1984.0,1,52.63312124610292,52359.2,35.88865670568248,10.865882941068305,1
5,5,2010,8,16619.338183622007,27711.8636683064,23.268984333016412,41.32528626348642,12.6575999338597,88.06994336736803,2.6910834607912033,0.8639576702079286,0.4505807945103551,0.23562481914761688,24191,47.385391261212845,65.90054152370716,59.81563391343888,6.585093629862346,59.9719253188636,DEMOCRAT,COLORADO,2008.0,1,62.28058861952329,51165.97,40.02807468113641,10.842829941613406,1
6,6,2010,9,20706.82108902333,35396.27427254394,20.374531835205993,45.22039757994814,11.11495246326707,84.69605301065975,7.087294727744166,0.149812734082397,0.8758282915586286,0.1267646211466436,17355,49.20772111783348,63.39383462978969,58.772687986171135,5.05329876116393,58.50000180692783,DEMOCRAT,CONNECTICUT,2015.0,0,60.682537558257174,65574.69,41.49999819307218,11.09094507731254,1
7,7,2010,10,18294.007155635063,25970.46256069512,21.31357015077945,43.57270636340404,11.525683618706875,78.43087145412727,14.617940199335548,0.38333759263991823,0.9455660618451316,0.0,3913,50.115001277791976,58.343981599795555,58.573984155379506,5.775619729108101,70.44159153068782,DEMOCRAT,DELAWARE,2016.0,0,58.06721969839281,64655.21,29.558408469312184,11.076823968733338,1
9,9,2010,12,16018.77947302384,23967.1148055207,20.986198243412797,42.395232120451695,11.11417816813049,80.23337515683815,12.498117942283564,0.328732747804266,0.4755332496863237,0.07653701380175659,79700,49.43789209535759,57.800501882057716,56.165621079046424,5.647427854454203,66.83649493485964,DEMOCRAT,FLORIDA,,0,52.0273776973888,39633.74,33.163505065140356,10.587436054681419,1
10,10,2010,13,16303.099301036396,25273.957098095925,22.40057845263919,46.26898047722343,13.099542058327307,68.39961436490721,24.299831284646903,0.23379127500602556,0.5712219812002892,0.09158833453844299,41490,48.83104362496987,58.05736322005303,59.42877801879971,5.69293805736322,64.50552732110411,REPUBLICAN,GEORGIA,,0,53.65774150865164,43049.78,35.494472678895896,10.670112399506001,0
11,11,2010,15,15788.939556235657,23707.793420045906,22.983932670237184,44.20811017597552,11.140015302218822,26.65646518745218,1.4690130068859986,0.26013771996939555,4.223412394797245,15.14919663351186,6535,47.32976281560826,62.89211935730681,56.25095638867636,6.3810252486610555,66.59809825610115,DEMOCRAT,HAWAII,,0,60.444104269488946,49028.38,33.40190174389885,10.800154593104104,1
